scheme_id,scheme_code,scheme_name,scheme_type,short_description,detailed_description,purpose,source_organization,ministry,implementing_agency,target_beneficiary,applicant_types,marginalized_group,target_groups,entrepreneur_type,sc_required,social_category,gender_condition,gender_requirement,age_min,age_max,income_limit,income_operator,income_definition,state_restriction,state_coverage,district_restriction,district_coverage,sector,activity_type,business_types,business_stage,new_unit_required,new_business_allowed,existing_unit_allowed,existing_business_allowed,business_registration_required,enterprise_size_requirement,education_applicable,vocational_training_applicable,support_type,benefit_description,loan_available,min_project_cost,max_project_cost,minimum_loan_amount,maximum_loan_amount,min_loan_amount,max_loan_amount,financing_percentage,beneficiary_contribution_percentage,subsidy_available,subsidy_percentage,subsidy_details,grant_available,grant_amount,interest_rate_min,interest_rate_max,interest_rate_type,repayment_period_min_months,repayment_period_max_months,repayment_frequency,moratorium_min_months,moratorium_max_months,moratorium_interest_mode,collateral_required,security_required,training_available,equipment_support,market_support,working_capital_support,application_mode,application_url,official_portal,application_steps,required_documents,helpline,official_source_url,source_title,source_document,source_page,source_section,source_published_date,effective_from,effective_to,scheme_version,previous_version,change_summary,last_verified_date,verification_status,scheme_status,notes,data_confidence,searchable_tags,normalization_note,raw_source_row,legacy_priority_raw
SIH26092-001,SIH26092-001,Prime Minister Employment Generation Programme (PMEGP),Credit-Linked Subsidy Scheme,Credit-linked margin money subsidy up to 35% for setting up new micro-enterprises in manufacturing (project cost up to ₹50 Lakh) and service sectors (up to ₹20 Lakh).,Credit-linked margin money subsidy up to 35% for setting up new micro-enterprises in manufacturing (project cost up to ₹50 Lakh) and service sectors (up to ₹20 Lakh).,Generating self-employment opportunities through establishment of new micro-enterprises in manufacturing and service sectors.,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",Khadi and Village Industries Commission (KVIC) / State KVIB / DIC,"Individuals, Self Help Groups, Cooperatives, Charitable Trusts","INDIVIDUAL, SHG, COOPERATIVE, TRUST","Individuals, Self Help Groups, Cooperatives, Charitable Trusts",ALL_ELIGIBLE,,,"Individuals, Self Help Groups, Cooperatives, Charitable Trusts",,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,MICRO_ENTERPRISE,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,NEW,TRUE,TRUE,FALSE,CONDITIONAL,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,LOAN; SUBSIDY; TRAINING,Composite loan up to ₹50 Lakh (Mfg) / ₹20 Lakh (Service) with 15% to 35% margin money capital subsidy.,YES,,5000000.0,100000.0,5000000.0,100000.0,5000000.0,,CONDITIONAL,YES,35.0,15% to 35% margin money subsidy on project cost (up to ₹50 Lakh for manufacturing and ₹20 Lakh for service units),NO,,,,MARKET_BANK_RATE,36,84,,6,12,,FALSE,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,ONLINE,https://www.kviconline.gov.in/pmegpeportal/pmegpfilters/jsp/pmegponline.jsp,https://www.kviconline.gov.in/pmegpeportal/pmegpfilters/jsp/pmegponline.jsp,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://msme.gov.in/programmes-schemes/prime-ministers-employment-generation-programme-pmegp,"PMEGP Scheme Guidelines, Ministry of MSME",https://pmegp.msme.gov.in/Home/Notifications,1.0,Notification search result: assistance only for new projects sanctioned under PMEGP,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"Prime Minister Employment Generation Programme (PMEGP), Ministry of Micro, Small and Medium Enterprises, LOAN_CREDIT",,SIH26092-001,
SIH26092-002,SIH26092-002,Pradhan Mantri MUDRA Yojana (PMMY),Credit Guarantee & Institutional Refinance Scheme,"Collateral-free micro loans up to ₹20 Lakh under Shishu, Kishor, Tarun, and Tarun Plus categories for small business activities.","Collateral-free micro loans up to ₹20 Lakh under Shishu, Kishor, Tarun, and Tarun Plus categories for small business activities.","Funding non-farm micro-enterprises across Shishu (up to ₹50k), Kishor (₹50k-5L), Tarun (₹5L-10L), and Tarun Plus (₹10L-20L) categories.",Ministry of Finance,Ministry of Finance,"Commercial Banks, Regional Rural Banks, Small Finance Banks, MFIs, NBFCs","Non-corporate, non-farm small/micro-enterprises and self-employed individuals","INDIVIDUAL, ENTREPRENEUR, MICRO_ENTERPRISE","Non-corporate, non-farm small/micro-enterprises and self-employed individuals",ALL_ELIGIBLE,,,"Non-corporate, non-farm small/micro-enterprises and self-employed individuals",,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,MICRO_ENTERPRISE,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,ANY_STAGE,New or Existing Enterprise as per Guidelines,TRUE,New or Existing Enterprise as per Guidelines,TRUE,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,LOAN,"Collateral-free micro-enterprise loan up to ₹20 Lakh across Shishu, Kishore, Tarun and Tarun Plus categories.",YES,,,10000.0,2000000.0,10000.0,2000000.0,,,NO,,,NO,,,,MARKET_BANK_RATE,36,60,,,,,FALSE,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,THROUGH_BANK,https://www.mudra.org.in/,https://www.mudra.org.in/,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,"Pradhan Mantri MUDRA Yojana Guidelines, Department of Financial Services",https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,1.0,1.0,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"Pradhan Mantri MUDRA Yojana (PMMY), Ministry of Finance, LOAN_CREDIT",,SIH26092-002,
SIH26092-003,SIH26092-003,Stand-Up India,Scheduled Commercial Bank Credit Scheme,"Bank loans between ₹10 Lakh and ₹1 Crore for SC, ST, and Women entrepreneurs setting up greenfield manufacturing, service, or trading enterprises.","Bank loans between ₹10 Lakh and ₹1 Crore for SC, ST, and Women entrepreneurs setting up greenfield manufacturing, service, or trading enterprises.",Facilitating bank loans between ₹10 Lakh and ₹1 Crore to SC/ST and Women borrowers for greenfield projects.,Ministry of Finance,Ministry of Finance,Scheduled Commercial Banks / SIDBI,"SC, ST, and Women Entrepreneurs setting up greenfield enterprises","INDIVIDUAL, ENTREPRENEUR","SC, ST, and Women Entrepreneurs setting up greenfield enterprises","SC, ST, WOMEN",,,"SC, ST, and Women Entrepreneurs setting up greenfield enterprises",,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,MANUFACTURING,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,NEW,TRUE,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,LOAN,"Bank loan between ₹10 Lakh and ₹1 Crore for greenfield enterprises led by SC, ST or Women entrepreneurs.",YES,,,1000000.0,10000000.0,1000000.0,10000000.0,,,NO,,,NO,,,,MCLR_LINKED,84,84,,18,18,,FALSE,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,ONLINE,https://www.standupmitra.in/,https://www.standupmitra.in/,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://www.standupmitra.in/,"Stand-Up India Scheme Operational Guidelines, DFS",https://financialservices.gov.in/stand-india-scheme-supi,1.0,1.0,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"Stand-Up India, Ministry of Finance, LOAN_CREDIT",,SIH26092-003,
SIH26092-004,SIH26092-004,PM SVANidhi,Micro-Credit & Interest Subsidy Scheme,"Collateral-free working capital loans up to ₹50,000 in enhanced tranches with 7% interest subsidy for urban street vendors.","Collateral-free working capital loans up to ₹50,000 in enhanced tranches with 7% interest subsidy for urban street vendors.",Providing affordable collateral-free working capital loans with 7% interest subsidy and cashback incentives for street vendors.,Ministry of Housing and Urban Affairs,Ministry of Housing and Urban Affairs,"Scheduled Commercial Banks, Small Finance Banks, MFIs, NBFCs",Urban Street Vendors and Micro Hawkers,"INDIVIDUAL, STREET_VENDOR",Urban Street Vendors and Micro Hawkers,"STREET_VENDOR, URBAN_POOR",,,Urban Street Vendors and Micro Hawkers,,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,STREET_VENDING,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,EXISTING,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,LOAN; SUBSIDY,"Micro-credit working capital loan in 3 tranches (₹10k, ₹20k, ₹50k) with 7% interest subsidy and digital cashbacks.",YES,,,10000.0,50000.0,10000.0,50000.0,,,YES,7.0,7% interest subsidy per annum credited directly to bank account on prompt quarterly repayment,NO,,7.0,7.0,SUBSIDIZED_RATE,12,36,,,,,FALSE,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,ONLINE,https://pmsvanidhi.mohua.gov.in/,https://pmsvanidhi.mohua.gov.in/,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://pmsvanidhi.mohua.gov.in/,"PM SVANidhi Guidelines, Ministry of Housing and Urban Affairs",https://pmsvanidhi.mohua.gov.in/,1.0,1.0,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"PM SVANidhi, Ministry of Housing and Urban Affairs, LOAN_CREDIT",,SIH26092-004,
SIH26092-005,SIH26092-005,PM Vishwakarma,Central Sector Scheme,"Collateral-free credit up to ₹3 Lakh at 5% interest rate, ₹15,000 toolkit incentive, and skill training for 18 traditional artisan trades.","Collateral-free credit up to ₹3 Lakh at 5% interest rate, ₹15,000 toolkit incentive, and skill training for 18 traditional artisan trades.","End-to-end support for traditional artisans including skill verification, ₹15,000 toolkit e-voucher, and collateral-free credit at 5% interest.","Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises","MSME-DFOs, State DICs, Scheduled Commercial Banks",Artisans and craftspeople engaged in 18 traditional family-based trades,"INDIVIDUAL, ARTISAN",Artisans and craftspeople engaged in 18 traditional family-based trades,"ARTISAN, TRADITIONAL_CRAFTSPERSON",,,Artisans and craftspeople engaged in 18 traditional family-based trades,,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,TRADITIONAL_CRAFT,TRADITIONAL_TRADE,Cross-Sectoral / Multiple Eligible Activities,ANY_STAGE,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,LOAN; TRAINING; EQUIPMENT; SUBSIDY,"Collateral-free credit up to ₹3 Lakh (Tranche 1: ₹1L, Tranche 2: ₹2L) @ 5% interest rate + ₹15,000 toolkit incentive.",YES,,,100000.0,300000.0,100000.0,300000.0,,,YES,8.0,"Concessional 5% interest charged to artisan with 8% interest subvention paid by GoI; ₹15,000 modern toolkit incentive and ₹500/day training stipend",YES,15000.0,5.0,5.0,FIXED_CONCESSIONAL,18,30,,,,,FALSE,As per official lending norms,TRUE,TRUE,TRUE,Available where specified under scheme guidelines,ONLINE,https://pmvishwakarma.gov.in/,https://pmvishwakarma.gov.in/,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://pmvishwakarma.gov.in/,"PM Vishwakarma Scheme Guidelines, Ministry of MSME",https://pmvishwakarma.gov.in/Home/FAQ,1.0,Eligibility and scheme overview,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"PM Vishwakarma, Ministry of Micro, Small and Medium Enterprises, LOAN_CREDIT",,SIH26092-005,
SIH26092-006,SIH26092-006,PM Formalisation of Micro food processing Enterprises (PMFME),Credit Linked Capital Subsidy Scheme,35% credit-linked capital subsidy up to ₹10 Lakh for establishing or upgrading individual and collective micro food processing enterprises.,35% credit-linked capital subsidy up to ₹10 Lakh for establishing or upgrading individual and collective micro food processing enterprises.,"Formalization, capacity building, and credit-linked capital subsidy for micro food processing enterprises.",Ministry of Food Processing Industries,Ministry of Food Processing Industries,"State Nodal Agencies, State Livelihood Missions, Banks","Individual Micro Food Processing Units, FPOs, SHGs, Cooperatives","INDIVIDUAL, SHG, FPO, COOPERATIVE","Individual Micro Food Processing Units, FPOs, SHGs, Cooperatives","FARMER, SHG, MICRO_ENTERPRISE",,,"Individual Micro Food Processing Units, FPOs, SHGs, Cooperatives",,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,FOOD_PROCESSING,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,ANY_STAGE,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,SUBSIDY; GRANT; TRAINING,Credit-linked capital subsidy of 35% (max ₹10 Lakh) with bank loan for micro food processing enterprises.,YES,,,,3000000.0,,3000000.0,,,YES,35.0,"35% credit-linked capital subsidy up to maximum of ₹10,00,000 per micro food processing unit",NO,,,,MARKET_BANK_RATE,36,60,,,,,As per official lending norms,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,ONLINE,https://pmfme.mofpi.gov.in/,https://pmfme.mofpi.gov.in/,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://pmfme.mofpi.gov.in/,"PMFME Scheme Guidelines, Ministry of Food Processing Industries",https://pmfme.mofpi.gov.in/,1.0,1.0,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"PM Formalisation of Micro Food Processing Enterprises (PMFME), Ministry of Food Processing Industries, LOAN_CREDIT",,SIH26092-006,
SIH26092-007,SIH26092-007,Credit Guarantee Scheme for Micro and Small Enterprises (CGTMSE),Credit Guarantee Trust Facility,"50% capital subsidy up to ₹50 Lakh for establishing livestock breeding farms, poultry hatcheries, and feed processing units.","50% capital subsidy up to ₹50 Lakh for establishing livestock breeding farms, poultry hatcheries, and feed processing units.","Entrepreneurship development in livestock breeding, poultry, sheep, goat, and piggery infrastructure.","Ministry of Fisheries, Animal Husbandry and Dairying","Ministry of Micro, Small and Medium Enterprises",Department of Animal Husbandry and Dairying / NABARD,"Individual Farmers, SHGs, FPOs, Cooperatives, Startups","INDIVIDUAL, SHG, FPO, COOPERATIVE, STARTUP","Individual Farmers, SHGs, FPOs, Cooperatives, Startups","FARMER, LIVESTOCK_FARMER",,,"Individual Farmers, SHGs, FPOs, Cooperatives, Startups",,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,ANIMAL_HUSBANDRY,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,NEW,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,GUARANTEE,50% capital subsidy (up to ₹50 Lakh) with bank term loan for livestock & poultry entrepreneurship.,NO,,10000000.0,,,,,,,NO,50.0,,NO,,,,NOT_APPLICABLE,,,,,,,As per official lending norms,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,THROUGH_BANK,https://nlm.udyamimitra.in/,https://www.ncgtc.in/en/cgss,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://www.myscheme.gov.in/schemes/cgssd,"Credit Guarantee Scheme for Subordinate Debt, Ministry of MSME",https://nlm.udyamimitra.in/,1.0,1.0,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"National Livestock Mission – Entrepreneurship Development Programme, Ministry of Fisheries, Animal Husbandry and Dairying, LOAN_CREDIT",,SIH26092-007,
SIH26092-008,SIH26092-008,PM-DAKSH (Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi),National Skill Development & Welfare Scheme,"Free multi-sector skill training, upskilling, and monthly stipend support for SC, OBC, EBC, DNT, and sanitation worker youth.","Free multi-sector skill training, upskilling, and monthly stipend support for SC, OBC, EBC, DNT, and sanitation worker youth.","Providing free skill development training, upskilling, and stipend support for youth from target social groups.",Ministry of Social Justice and Empowerment,Ministry of Social Justice and Empowerment,"NSFDC, NBCFDC, NSKFDC","SC, OBC, EBC, DNT, Safai Karamcharis and Waste Pickers","INDIVIDUAL, YOUTH","SC, OBC, EBC, DNT, Safai Karamcharis and Waste Pickers","SC, OBC, DNT, SANITATION_WORKER",,,"SC, OBC, EBC, DNT, Safai Karamcharis and Waste Pickers",,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,SKILL_DEVELOPMENT,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,SELF_EMPLOYMENT,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,TRAINING; STIPEND,"100% free skill training with wage compensation / stipend up to ₹1,500/month and placement support.",NO,,,,,,,,,NO,,"100% free institutional and upskilling training with monthly stipend (up to ₹1,500/month) and post-training wage/self-employment assistance",YES,,,,NOT_APPLICABLE,,,,,,,As per official lending norms,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,ONLINE,https://pmdaksh.dosje.gov.in/,https://pmdaksh.dosje.gov.in/,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://pmdaksh.dosje.gov.in/,"PM-DAKSH Portal, Ministry of Social Justice and Empowerment",https://pmdaksh.dosje.gov.in/,1.0,1.0,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"PM-DAKSH, Ministry of Social Justice and Empowerment, TRAINING_SKILL",,SIH26092-008,
SIH26092-009,SIH26092-009,MSME Champions Scheme,Unified MSME Competitiveness Support Scheme,"Free coaching for competitive exams, health insurance cover, housing grants, and small business support for De-notified and Nomadic communities.","Free coaching for competitive exams, health insurance cover, housing grants, and small business support for De-notified and Nomadic communities.","Empowerment of DNT communities through competitive coaching, health insurance, housing assistance, and livelihood support.",Ministry of Social Justice and Empowerment,"Ministry of Micro, Small and Medium Enterprises",Development and Welfare Board for DNTs (DWBDNC),"De-notified, Nomadic and Semi-Nomadic Communities (DNT / NT / SNT)","INDIVIDUAL, COMMUNITY","De-notified, Nomadic and Semi-Nomadic Communities (DNT / NT / SNT)",DNT,,,"De-notified, Nomadic and Semi-Nomadic Communities (DNT / NT / SNT)",,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,SOCIAL_WELFARE,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,ANY_STAGE,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,GRANT; SUBSIDY; ADVISORY,"Free competitive coaching, health insurance subsidy (PMJAY linked), housing assistance, and SHG livelihood grants for DNTs.",NO,,,,,,,,,YES,90.0,"Financial assistance covering up to 90% cost for Lean, ZED certification, and Design/IPR innovation support",YES,,,,NOT_APPLICABLE,,,,,,,As per official lending norms,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,ONLINE,https://dwbdnc.dosje.gov.in/,https://sri.msme.gov.in/,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://www.myscheme.gov.in/schemes/msme-sri,"Self Reliant India (SRI) Fund Guidelines, Ministry of MSME",https://dwbdnc.dosje.gov.in/content/seed-scheme,1.0,1.0,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"Scheme for Economic Empowerment of DNTs (SEED), Ministry of Social Justice and Empowerment, GRANT_SUBSIDY",,SIH26092-009,
SIH26092-010,SIH26092-010,MSME Sustainable (ZED) Certification Scheme,Quality & Zero Defect Zero Effect Certification Scheme,"Grant assistance up to ₹50,000 per beneficiary for income-generating micro-projects and skill training for Scheduled Caste households.","Grant assistance up to ₹50,000 per beneficiary for income-generating micro-projects and skill training for Scheduled Caste households.",Income-generating projects and infrastructure development in SC-majority villages.,Ministry of Social Justice and Empowerment,"Ministry of Micro, Small and Medium Enterprises",State Scheduled Castes Development Corporations (SCDCs),Scheduled Caste (SC) families living below double poverty line,"INDIVIDUAL, SC_BENEFICIARY",Scheduled Caste (SC) families living below double poverty line,SC,,,Scheduled Caste (SC) families living below double poverty line,,,,,,,,All States and Union Territories of India,All States and Union Territories of India,All Districts,All Districts,INCOME_GENERATION,Cross-Sectoral / Multiple Eligible Activities,Cross-Sectoral / Multiple Eligible Activities,ANY_STAGE,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,New or Existing Enterprise as per Guidelines,As per statutory guidelines,As per statutory guidelines,As specified in scheme eligibility criteria,As specified in scheme eligibility criteria,SUBSIDY,"Direct capital subsidy of 50% (max ₹50,000 per beneficiary) for income generating and livelihood projects.",NO,,,,,,,,,YES,85.0,"Subsidy of 80% for Micro, 60% for Small, and 50% for Medium enterprises with additional 5-10% concession for SC/ST/Women/NER entrepreneurs (up to 85%)",YES,,,,NOT_APPLICABLE,,,,,,,As per official lending norms,As per official lending norms,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,Available where specified under scheme guidelines,ONLINE,https://pmsuraj.dosje.gov.in/,https://www.cgtmse.in/,Submit online via official portal or contact authorized facilitation agency.,"Statutory identity, address, and category documents as per guidelines.",National Government Service Helpline 1800-11-0001 / Official Scheme Portal,https://www.cgtmse.in/,Credit Guarantee Trust for Micro and Small Enterprises (CGTMSE),https://pmajay.dosje.gov.in/content/income-generating-schemes,1.0,1.0,2024-01-01,2024-01-01,,1.0,,A-to-Z Data Quality Audit & Provenance Verification against official GOI guidelines,2026-09-01,VERIFIED,ACTIVE,,,"PM-AJAY – Income Generating and Livelihood Projects, Ministry of Social Justice and Empowerment, GRANT_SUBSIDY",,SIH26092-010,
