candidate_name,official_name,category,ministry,implementing_agency,status,already_exists,duplicate_of,relevance,official_source,official_document,application_mode,partner_required,action_taken,reason
PM-YASASVI,PM Young Achievers Scholarship Award Scheme for Vibrant India (PM-YASASVI),OBC/EBC/DNT Education,Ministry of Social Justice and Empowerment,Department of Social Justice and Empowerment / NTA,ACTIVE,NO,NONE,HIGH,https://scholarships.gov.in/,PM-YASASVI Umbrella Scheme Guidelines,DIRECT_GOVERNMENT_PORTAL,NO,ADDED_AS_NEW_SCHEME,Authoritative central scholarship umbrella scheme for OBC/EBC/DNT students
SHRESHTA,Scheme for Residential Education for Students in High Schools in Targeted Areas (SHRESHTA),SC Education,Ministry of Social Justice and Empowerment,National Testing Agency (NTA) / MSJE,ACTIVE,NO,NONE,HIGH,https://shreshta.admissions.nic.in/,SHRESHTA Operational Guidelines,DIRECT_GOVERNMENT_PORTAL,NO,ADDED_AS_NEW_SCHEME,Authoritative residential schooling grant for bright SC students
NMDFC Virasat Scheme,NMDFC Virasat Scheme for Craftspersons and Artisans,Minority Artisan Credit,Ministry of Minority Affairs,National Minorities Development and Finance Corporation (NMDFC) via SCAs,ACTIVE,NO,NONE,HIGH,https://www.nmdfc.org/,NMDFC Virasat Scheme Operational Guidelines,PARTNER_ROUTED,YES,ADDED_AS_NEW_SCHEME,Concessional credit at 4%-6% for minority craftspersons
Divyangjan Swavalamban Yojana,Divyangjan Swavalamban Yojana (NDFDC),PwD Self Employment,Ministry of Social Justice and Empowerment,National Divyangjan Finance and Development Corporation (NDFDC),ACTIVE,NO,NONE,HIGH,https://ndfdc.nic.in/,NDFDC Divyangjan Swavalamban Guidelines,PARTNER_ROUTED,YES,ADDED_AS_NEW_SCHEME,Flagship concessional self-employment loan for Persons with Disabilities
SAMARTH,SAMARTH — Scheme for Capacity Building in Textile Sector,Textile Skilling & Employment,Ministry of Textiles,Ministry of Textiles Sectoral Organisations / Implementing Partners,ACTIVE,NO,NONE,HIGH,https://samarth-textiles.gov.in/,SAMARTH Operational Guidelines,DIRECT_GOVERNMENT_PORTAL,NO,ADDED_AS_NEW_SCHEME,Flagship skill training and placement in textile value chain
Animal Husbandry Infrastructure Development Fund (AHIDF),Animal Husbandry Infrastructure Development Fund (AHIDF),Livestock/Dairy Infrastructure,Ministry of Fisheries Animal Husbandry and Dairying,Department of Animal Husbandry and Dairying / SIDBI,ACTIVE,NO,NONE,HIGH,https://ahidf.udyamimitra.in/,AHIDF Revised Operational Guidelines,DIRECT_GOVERNMENT_PORTAL,NO,ADDED_AS_NEW_SCHEME,3% interest subvention and credit guarantee for livestock processing
Special Credit Linked Capital Subsidy Scheme (SCLCSS),Special Credit Linked Capital Subsidy Scheme for SC/ST (SCLCSS under NSSH),SC/ST Enterprise Technology Upgradation,Ministry of Micro Small and Medium Enterprises,National Small Industries Corporation (NSIC) / SIDBI,ACTIVE,NO,NONE,HIGH,https://www.scsthub.in/,SCLCSS Guidelines under National SC-ST Hub,DIRECT_GOVERNMENT_PORTAL,NO,ADDED_AS_NEW_SCHEME,25% upfront capital subsidy on plant and machinery loans up to 1 Crore
NSKFDC Sanitary Marts Scheme,NSKFDC Sanitary Marts Scheme,Sanitation Worker Livelihood,Ministry of Social Justice and Empowerment,National Safai Karamcharis Finance and Development Corporation (NSKFDC),ACTIVE,NO,NONE,HIGH,https://www.nskfdc.nic.in/,NSKFDC Sanitary Marts Scheme Guidelines,PARTNER_ROUTED,YES,ADDED_AS_NEW_SCHEME,Concessional financing for sanitary retail/service marts for Safai Karamcharis
NBCFDC Krishi Sampada Scheme,NBCFDC Krishi Sampada Scheme,OBC Small Farmer Seasonal Credit,Ministry of Social Justice and Empowerment,National Backward Classes Finance and Development Corporation (NBCFDC),ACTIVE,NO,NONE,HIGH,https://nbcfdc.nic.in/,NBCFDC Krishi Sampada Lending Guidelines,PARTNER_ROUTED,YES,ADDED_AS_NEW_SCHEME,Concessional seasonal crop micro-finance for OBC small farmers and vegetable vendors
PM-JANMAN,Pradhan Mantri Janjati Adivasi Nyaya Maha Abhiyan (PM-JANMAN),PVTG Tribal Livelihood & Housing,Ministry of Tribal Affairs,Ministry of Tribal Affairs / State Tribal Departments,ACTIVE,NO,NONE,HIGH,https://tribal.nic.in/,PM-JANMAN Operational Guidelines and SOPs,DIRECT_GOVERNMENT_PORTAL,NO,ADDED_AS_NEW_SCHEME,Inter-ministerial saturation mission for 75 PVTG communities with housing and livelihood
