scheme_id,scheme_code,scheme_name,scheme_type,short_description,detailed_description,purpose,source_organization,ministry,implementing_agency,target_beneficiary,applicant_types,marginalized_group,target_groups,entrepreneur_type,sc_required,social_category,gender_condition,gender_requirement,age_min,age_max,income_limit,income_operator,income_definition,state_restriction,state_coverage,district_restriction,district_coverage,sector,activity_type,business_types,business_stage,new_unit_required,new_business_allowed,existing_unit_allowed,existing_business_allowed,business_registration_required,enterprise_size_requirement,education_applicable,vocational_training_applicable,support_type,benefit_description,loan_available,min_project_cost,max_project_cost,minimum_loan_amount,maximum_loan_amount,min_loan_amount,max_loan_amount,financing_percentage,beneficiary_contribution_percentage,subsidy_available,subsidy_percentage,subsidy_details,grant_available,grant_amount,interest_rate_min,interest_rate_max,interest_rate_type,repayment_period_min_months,repayment_period_max_months,repayment_frequency,moratorium_min_months,moratorium_max_months,moratorium_interest_mode,collateral_required,security_required,training_available,equipment_support,market_support,working_capital_support,application_mode,application_url,official_portal,application_steps,required_documents,helpline,official_source_url,source_title,source_document,source_page,source_section,source_published_date,effective_from,effective_to,scheme_version,previous_version,change_summary,last_verified_date,verification_status,scheme_status,notes,data_confidence,searchable_tags,normalization_note,raw_source_row,legacy_priority_raw
SIH26092-001,UNKNOWN,Prime Minister Employment Generation Programme (PMEGP),LOAN; SUBSIDY; TRAINING,Credit-linked margin money subsidy up to 35% for setting up new micro-enterprises in manufacturing (project cost up to ₹50 Lakh) and service sectors (up to ₹20 Lakh).,UNKNOWN,Generating self-employment opportunities through establishment of new micro-enterprises in manufacturing and service sectors.,Ministry of MSME,"Ministry of Micro, Small and Medium Enterprises",Khadi and Village Industries Commission (KVIC) / State KVIB / DIC,"Individuals, Self Help Groups, Cooperatives, Charitable Trusts","INDIVIDUAL, SHG, COOPERATIVE, TRUST",UNKNOWN,ALL_ELIGIBLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MICRO_ENTERPRISE,UNKNOWN,UNKNOWN,NEW,TRUE,TRUE,FALSE,CONDITIONAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CREDIT_LINKED_SUBSIDY,UNKNOWN,UNKNOWN,UNKNOWN,5000000.0,UNKNOWN,UNKNOWN,UNKNOWN,5000000.0,UNKNOWN,CONDITIONAL,UNKNOWN,CONDITIONAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://pmegp.msme.gov.in/,UNKNOWN,UNKNOWN,UNKNOWN,https://pmegp.msme.gov.in/,PMEGP Notifications,https://pmegp.msme.gov.in/Home/Notifications,UNKNOWN,Notification search result: assistance only for new projects sanctioned under PMEGP,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Financial fields remain UNKNOWN pending current guideline-table extraction.,MEDIUM,UNKNOWN,No final embedding_text retained.,SIH26092-001,UNKNOWN
SIH26092-002,UNKNOWN,Pradhan Mantri MUDRA Yojana (PMMY),UNKNOWN,"Collateral-free micro loans up to ₹20 Lakh under Shishu, Kishor, Tarun, and Tarun Plus categories for small business activities.",UNKNOWN,"Funding non-farm micro-enterprises across Shishu (up to ₹50k), Kishor (₹50k-5L), Tarun (₹5L-10L), and Tarun Plus (₹10L-20L) categories.",Department of Financial Services,Ministry of Finance,"Commercial Banks, Regional Rural Banks, Small Finance Banks, MFIs, NBFCs","Non-corporate, non-farm small/micro-enterprises and self-employed individuals","INDIVIDUAL, ENTREPRENEUR, MICRO_ENTERPRISE",UNKNOWN,ALL_ELIGIBLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MICRO_ENTERPRISE,UNKNOWN,UNKNOWN,ANY_STAGE,UNKNOWN,TRUE,UNKNOWN,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TERM_LOAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2000000.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,Official source URL carried from original dataset; parameter-level source extraction pending,https://financialservices.gov.in/pradhan-mantri-mudra-yojana-pmmy,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.,LOW,UNKNOWN,No final embedding_text retained.,SIH26092-002,UNKNOWN
SIH26092-003,UNKNOWN,Stand-Up India,UNKNOWN,"Bank loans between ₹10 Lakh and ₹1 Crore for SC, ST, and Women entrepreneurs setting up greenfield manufacturing, service, or trading enterprises.",UNKNOWN,Facilitating bank loans between ₹10 Lakh and ₹1 Crore to SC/ST and Women borrowers for greenfield projects.,Department of Financial Services,Ministry of Finance,Scheduled Commercial Banks / SIDBI,"SC, ST, and Women Entrepreneurs setting up greenfield enterprises","INDIVIDUAL, ENTREPRENEUR",UNKNOWN,"SC, ST, WOMEN",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MANUFACTURING,UNKNOWN,UNKNOWN,NEW,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TERM_LOAN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1000000.0,10000000.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://financialservices.gov.in/stand-india-scheme-supi,Official source URL carried from original dataset; parameter-level source extraction pending,https://financialservices.gov.in/stand-india-scheme-supi,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.,LOW,UNKNOWN,No final embedding_text retained.,SIH26092-003,UNKNOWN
SIH26092-004,UNKNOWN,PM SVANidhi,UNKNOWN,"Collateral-free working capital loans up to ₹50,000 in enhanced tranches with 7% interest subsidy for urban street vendors.",UNKNOWN,Providing affordable collateral-free working capital loans with 7% interest subsidy and cashback incentives for street vendors.,Ministry of Housing and Urban Affairs,Ministry of Housing and Urban Affairs,"Scheduled Commercial Banks, Small Finance Banks, MFIs, NBFCs",Urban Street Vendors and Micro Hawkers,"INDIVIDUAL, STREET_VENDOR",UNKNOWN,"STREET_VENDOR, URBAN_POOR",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,STREET_VENDING,UNKNOWN,UNKNOWN,EXISTING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WORKING_CAPITAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,50000.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,7.0,7.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://pmsvanidhi.mohua.gov.in/,Official source URL carried from original dataset; parameter-level source extraction pending,https://pmsvanidhi.mohua.gov.in/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.,LOW,UNKNOWN,No final embedding_text retained.,SIH26092-004,UNKNOWN
SIH26092-005,UNKNOWN,PM Vishwakarma,LOAN; TRAINING; EQUIPMENT; MARKET_LINKAGE,"Collateral-free credit up to ₹3 Lakh at 5% interest rate, ₹15,000 toolkit incentive, and skill training for 18 traditional artisan trades.",UNKNOWN,"End-to-end support for traditional artisans including skill verification, ₹15,000 toolkit e-voucher, and collateral-free credit at 5% interest.",Ministry of MSME,"Ministry of Micro, Small and Medium Enterprises","MSME-DFOs, State DICs, Scheduled Commercial Banks",Artisans and craftspeople engaged in 18 traditional family-based trades,"INDIVIDUAL, ARTISAN",UNKNOWN,"ARTISAN, TRADITIONAL_CRAFTSPERSON",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRADITIONAL_CRAFT,TRADITIONAL_TRADE,UNKNOWN,ANY_STAGE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOAN,UNKNOWN,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,300000.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,15000.0,5.0,5.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE,TRUE,UNKNOWN,ONLINE; CSC,https://pmvishwakarma.gov.in/,https://pmvishwakarma.gov.in/,UNKNOWN,UNKNOWN,UNKNOWN,https://pmvishwakarma.gov.in/Home/FAQ,PM Vishwakarma FAQ,https://pmvishwakarma.gov.in/Home/FAQ,UNKNOWN,Eligibility and scheme overview,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Official FAQ verifies 18 trades and support categories; loan limits/rates remain UNKNOWN until guideline table is cited.,MEDIUM,UNKNOWN,No final embedding_text retained.,SIH26092-005,UNKNOWN
SIH26092-006,UNKNOWN,PM Formalisation of Micro Food Processing Enterprises (PMFME),UNKNOWN,35% credit-linked capital subsidy up to ₹10 Lakh for establishing or upgrading individual and collective micro food processing enterprises.,UNKNOWN,"Formalization, capacity building, and credit-linked capital subsidy for micro food processing enterprises.",Ministry of Food Processing Industries,Ministry of Food Processing Industries,"State Nodal Agencies, State Livelihood Missions, Banks","Individual Micro Food Processing Units, FPOs, SHGs, Cooperatives","INDIVIDUAL, SHG, FPO, COOPERATIVE",UNKNOWN,"FARMER, SHG, MICRO_ENTERPRISE",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FOOD_PROCESSING,UNKNOWN,UNKNOWN,ANY_STAGE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CREDIT_LINKED_SUBSIDY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1000000.0,UNKNOWN,UNKNOWN,UNKNOWN,35.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://pmfme.mofpi.gov.in/,Official source URL carried from original dataset; parameter-level source extraction pending,https://pmfme.mofpi.gov.in/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.,LOW,UNKNOWN,No final embedding_text retained.,SIH26092-006,UNKNOWN
SIH26092-007,UNKNOWN,National Livestock Mission – Entrepreneurship Development Programme,UNKNOWN,"50% capital subsidy up to ₹50 Lakh for establishing livestock breeding farms, poultry hatcheries, and feed processing units.",UNKNOWN,"Entrepreneurship development in livestock breeding, poultry, sheep, goat, and piggery infrastructure.",Department of Animal Husbandry and Dairying,"Ministry of Fisheries, Animal Husbandry and Dairying",Department of Animal Husbandry and Dairying / NABARD,"Individual Farmers, SHGs, FPOs, Cooperatives, Startups","INDIVIDUAL, SHG, FPO, COOPERATIVE, STARTUP",UNKNOWN,"FARMER, LIVESTOCK_FARMER",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ANIMAL_HUSBANDRY,UNKNOWN,UNKNOWN,NEW,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CAPITAL_SUBSIDY,UNKNOWN,UNKNOWN,UNKNOWN,10000000.0,UNKNOWN,UNKNOWN,UNKNOWN,5000000.0,UNKNOWN,UNKNOWN,UNKNOWN,50.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://nlm.udyamimitra.in/,Official source URL carried from original dataset; parameter-level source extraction pending,https://nlm.udyamimitra.in/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.,LOW,UNKNOWN,No final embedding_text retained.,SIH26092-007,UNKNOWN
SIH26092-008,UNKNOWN,PM-DAKSH,UNKNOWN,"Free multi-sector skill training, upskilling, and monthly stipend support for SC, OBC, EBC, DNT, and sanitation worker youth.",UNKNOWN,"Providing free skill development training, upskilling, and stipend support for youth from target social groups.",Department of Social Justice and Empowerment,Ministry of Social Justice and Empowerment,"NSFDC, NBCFDC, NSKFDC","SC, OBC, EBC, DNT, Safai Karamcharis and Waste Pickers","INDIVIDUAL, YOUTH",UNKNOWN,"SC, OBC, DNT, SANITATION_WORKER",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SKILL_DEVELOPMENT,UNKNOWN,UNKNOWN,SELF_EMPLOYMENT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SKILL_TRAINING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://pmdaksh.dosje.gov.in/,Official source URL carried from original dataset; parameter-level source extraction pending,https://pmdaksh.dosje.gov.in/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.,LOW,UNKNOWN,No final embedding_text retained.,SIH26092-008,UNKNOWN
SIH26092-009,UNKNOWN,Scheme for Economic Empowerment of DNTs (SEED),UNKNOWN,"Free coaching for competitive exams, health insurance cover, housing grants, and small business support for De-notified and Nomadic communities.",UNKNOWN,"Empowerment of DNT communities through competitive coaching, health insurance, housing assistance, and livelihood support.",Department of Social Justice and Empowerment,Ministry of Social Justice and Empowerment,Development and Welfare Board for DNTs (DWBDNC),"De-notified, Nomadic and Semi-Nomadic Communities (DNT / NT / SNT)","INDIVIDUAL, COMMUNITY",UNKNOWN,DNT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOCIAL_WELFARE,UNKNOWN,UNKNOWN,ANY_STAGE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FINANCIAL_ASSISTANCE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://dwbdnc.dosje.gov.in/content/seed-scheme,Official source URL carried from original dataset; parameter-level source extraction pending,https://dwbdnc.dosje.gov.in/content/seed-scheme,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.,LOW,UNKNOWN,No final embedding_text retained.,SIH26092-009,UNKNOWN
SIH26092-010,UNKNOWN,PM-AJAY – Income Generating and Livelihood Projects,UNKNOWN,"Grant assistance up to ₹50,000 per beneficiary for income-generating micro-projects and skill training for Scheduled Caste households.",UNKNOWN,Income-generating projects and infrastructure development in SC-majority villages.,Department of Social Justice and Empowerment,Ministry of Social Justice and Empowerment,State Scheduled Castes Development Corporations (SCDCs),Scheduled Caste (SC) families living below double poverty line,"INDIVIDUAL, SC_BENEFICIARY",UNKNOWN,SC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,INCOME_GENERATION,UNKNOWN,UNKNOWN,ANY_STAGE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SUBSIDY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,50.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://pmajay.dosje.gov.in/content/income-generating-schemes,Official source URL carried from original dataset; parameter-level source extraction pending,https://pmajay.dosje.gov.in/content/income-generating-schemes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Legacy values not independently supported by an extracted authoritative source were reset to UNKNOWN; see changelog and verification report.,2026-08-27,VERIFIED,UNKNOWN,Not eligible for deterministic financial matching until the scheme-specific official rule source is extracted.,LOW,UNKNOWN,No final embedding_text retained.,SIH26092-010,UNKNOWN
